 Burundi,50.1,49,47.4,36.6,33.5,32.5 hhhh,31.4 hhhh,30.4 hhhh,29.3 hhhh,28.3 hhh
 Cabo Verde,109,109,105.8,93.5,85.6,83.2 hhhh,80.7 hhhh,78.3 hhhh,75.9 hhhh,73.4 hhh
 Cambodia,88.1,66.8,51.5,48.2,47,47.9 hhhh,48.8 hhhh,49.8 hhhh,50.7 hhhh,51.6 hhh
 Cameroon,191.5,177.7,162.6,151.1,130.7,125.5 hhhh,120.3 hhhh,115.1 hhhh,109.8 hhhh,104.6 hhh
 Canada,23.2,25.1,20.1,14.4,13.9,13.1 hhhh,12.3 hhhh,11.4 hhhh,10.6 hhhh,9.8 hhh
 Central African Republic,156.3,143.4,134.4,122.5,106.6,103.7 hhhh,100.7 hhhh,97.8 hhhh,94.9 hhhh,91.9 hhh
 Chad,218.1,218.1,216.4,209.7,181.9,172.2 hhhh,162.5 hhhh,152.8 hhhh,143.1 hhhh,133.5 hhh
 Chile,65.6,63.6,60.8,54.5,52.7,51.7 hhhh,50.7 hhhh,49.8 hhhh,48.8 hhhh,47.8 hhh
 China,23.7,17.2,9.7,8.1,7.9,7.7 hhhh,7.6 hhhh,7.5 hhhh,7.4 hhhh,7.3 hhh
 Colombia,75.7,82.7,83.3,86.3,63.7,61.0 hhhh,58.3 hhhh,55.6 hhhh,52.9 hhhh,50.2 hhh
 Comoros,119.6,108.2,98.9,92.2,79.5,77.3 hhhh,75.0 hhhh,72.8 hhhh,70.6 hhhh,68.3 hhh
 Congo,133.8,130.5,133.1,137.2,129.2,126.9 hhhh,124.6 hhhh,122.3 hhhh,120.0 hhhh,117.7 hhh
 Congo (Democratic Republic of the),138.1,133.3,130.2,130.7,130.1,128.6 hhhh,127.1 hhhh,125.6 hhhh,124.1 hhhh,122.6 hhh
 Costa Rica,95.3,91.8,83.2,69.8,64.5,62.9 hhhh,61.3 hhhh,59.7 hhhh,58.1 hhhh,56.5 hhh
 Croatia,34.9,20.7,19.1,15.2,14.6,13.6 hhhh,12.6 hhhh,11.6 hhhh,10.6 hhhh,9.5 hhh
 Cuba,85.7,69.2,69.4,50.6,49.3,48.5 hhhh,47.8 hhhh,47.1 hhhh,46.4 hhhh,45.6 hhh
 Cyprus,34.6,24.3,13.1,7.2,6.6,6.2 hhhh,5.9 hhhh,5.6 hhhh,5.3 hhhh,5.0 hhh
 Czech Republic,50.5,41.1,16.6,11.4,11.1,10.9 hhhh,10.6 hhhh,10.4 hhhh,10.1 hhhh,9.9 hhh
